State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years,85 Years and Over
AL,310504,552339,259034,450818,1788160,1215966,85079
AK,52083,85640,42153,74257,244157,183159,4844
AZ,515910,828669,362642,601943,2544350,1523681,122985
AR,202070,343207,157204,264160,1102950,727124,58675
CA,2704659,4499890,2159981,3853788,14106543,8819342,612463
CO,358280,587154,261701,466194,1908747,1290094,67286
CT,211637,403658,196918,325110,1315851,968967,79111
DE,59319,99496,47414,84464,335753,230528,16118
DC,36352,50439,25225,75569,253061,140043,11144
